Candidate,House.Senate,State,District,Party,Status,ElectionYear,Gender,GenderVar,PercentWomen,Check.Column,PartyVar,NewEngland,MidAtlantic,ENCentral,WNCentral,SouthAtlantic,ESCentral,WSCentral,MountainWest,Pacific,CheckVar,Northeast,Midwest,South,West,PerUrban,CheckCandidate
"ZINN, WALTER H",H,MS,1,DEM,OPEN,2016,male,0,9.016393443,democrat,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,41.89,"ZINN, WALTER H"
"ADAMS, BOYCE",H,MS,1,REP,OPEN,2016,male,0,4.098360656,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,41.89,"ADAMS, BOYCE"
"ADCOCK, SAM",H,MS,1,REP,OPEN,2016,male,0,4.098360656,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,41.89,"ADCOCK, SAM"
"COLLINS, NANCY",H,MS,1,REP,OPEN,2016,female,1,4.098360656,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,41.89,"COLLINS, NANCY"
"HOLLIDAY, ED",H,MS,1,REP,OPEN,2016,male,0,4.098360656,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,41.89,"HOLLIDAY, ED"
"JONES, ROGER STARNER DR.",H,MS,1,REP,OPEN,2016,male,0,4.098360656,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,41.89,"JONES, ROGER STARNER DR."
"MILLS, MICHAEL P. JR",H,MS,1,REP,OPEN,2016,male,0,4.098360656,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,41.89,"MILLS, MICHAEL P. JR"
"PIRKLE, GREGORY D.",H,MS,1,REP,OPEN,2016,male,0,4.098360656,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,41.89,"PIRKLE, GREGORY D."
"ROSS, HERMAN HENRY II",H,MS,1,REP,OPEN,2016,male,0,4.098360656,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,41.89,"ROSS, HERMAN HENRY II"
"TAGERT, MIKE",H,MS,1,REP,OPEN,2016,male,0,4.098360656,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,41.89,"TAGERT, MIKE"
"WHITWELL, ROBERT QUENTIN JR",H,MS,1,REP,OPEN,2016,male,0,4.098360656,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,41.89,"WHITWELL, ROBERT QUENTIN JR"
"LASSA, JULIE",H,WI,7,DEM,OPEN,2010,female,1,16.16161616,democrat,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,42.04,"LASSA, JULIE"
"RAIHALA, DON",H,WI,7,DEM,OPEN,2010,male,0,16.16161616,democrat,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,42.04,"RAIHALA, DON"
"REASBECK IV, JOSEPH VINCENT",H,WI,7,DEM,OPEN,2010,male,0,16.16161616,democrat,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,42.04,"REASBECK IV, JOSEPH VINCENT"
"DUFFY, SEAN",H,WI,7,REP,OPEN,2010,male,0,6.060606061,republican,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,42.04,"DUFFY, SEAN"
