"Candidate","House/Senate","State","District","Party","Status","ElectionYear","Gender","GenderVar","PercentWomen","Check Column","PartyVar","_regNewEngland","_regMidAtlantic","_regENCentral","_regWNCentral","_regSouthAtlantic","_regESCentral","_regWSCentral","_regMountainWest","_regPacific","urb_district_id","urbanPercent"
"MOON, C MICHAEL","H","MO","7","REP","OPEN","2010","male","0","6.134969325","republican","0","0","0","0","0","0","0","0","0","0","MO72010","59.28"
"MOONEY, PATRICK","H","FL","6","REP","OPEN","2016","male","0","12.5","republican","0","0","0","0","0","1","0","0","0","0","FL62016","81.66"
"MOORE, DANIELLE E","H","MO","9","REP","OPEN","2008","female","1","6.134969325","republican","0","0","0","0","0","0","0","0","0","0","MO92008","45.83"
"MOORE, DARRELL LEE","H","MO","7","REP","OPEN","2010","male","0","6.134969325","republican","0","0","0","0","0","0","0","0","0","0","MO72010","59.28"
"MOORE, GARY","H","KY","4","REP","OPEN","2012","male","0","9","republican","0","0","0","0","0","0","1","0","0","0","KY42012","59.79"
"MOORE, MIKE C","H","AR","3","REP","OPEN","2010","male","0","9","republican","0","0","0","0","0","0","0","1","0","0","AR32010","54.39"
"MOORLACH, JOHN","H","CA","45","REP","OPEN","2014","male","0","8.75","republican","0","0","0","0","0","0","0","0","0","1","CA452014","99.55"
"MORRELL, KIM","H","TX","36","REP","OPEN","2012","male","0","12.66666667","republican","0","0","0","0","0","0","0","1","0","0","TX362012","67.74"
"MORRELL, KIM","H","TX","36","REP","OPEN","2014","male","0","10","republican","0","0","0","0","0","0","0","1","0","0","TX362014","67.74"
"MORRIS, BENJAMIN OWEN","H","LA","1","REP","OPEN","2008","male","0","3.80952381","republican","0","0","0","0","0","0","0","1","0","0","LA12008","79.66"
"MORRIS, JOHN CLYDE III","H","LA","5","REP","OPEN","2014","male","0","4.761904762","republican","0","0","0","0","0","0","0","1","0","0","LA52014","48.35"
"MORRIS, JOHN DAVID","H","IL","18","REP","OPEN","2008","male","0","10.16949153","republican","0","0","0","1","0","0","0","0","0","0","IL182008","67.84"
"MORRIS, PATRICK J","H","MO","2","REP","OPEN","2012","male","0","11.04294479","republican","0","0","0","0","0","0","0","0","0","0","MO22012","91.69"
"MORRIS, PAULINA VASQUEZ","H","AZ","3","REP","OPEN","2010","female","1","15","republican","0","0","0","0","0","0","0","0","1","0","AZ32010","96.46"
"MORRISON, WILLIAM (RODRIGUEZ)","H","CA","32","REP","OPEN","2010","male","0","5","republican","0","0","0","0","0","0","0","0","0","1","CA322010","99.97"
"MOSS, JIM","H","WV","2","REP","OPEN","2014","male","0","10","republican","0","0","0","0","0","1","0","0","0","0","WV22014","51.19"
"MOTTUS, KEVIN NEIL","H","CA","33","REP","OPEN","2014","male","0","8.75","republican","0","0","0","0","0","0","0","0","0","1","CA332014","98.07"
"MOUNT, MATTHEW","H","IN","5","REP","OPEN","2012","male","0","10","republican","0","0","0","1","0","0","0","0","0","0","IN52012","74.53"
"MOWERY, TOD","H","FL","18","REP","OPEN","2016","male","0","12.5","republican","0","0","0","0","0","1","0","0","0","0","FL182016","96.37"
"MROZINSKI, LARRY","H","GA","11","REP","OPEN","2014","male","0","8.888888889","republican","0","0","0","0","0","1","0","0","0","0","GA112014","89.36"
"MULLIN, MARKWAYNE","H","OK","2","REP","OPEN","2012","male","0","9.900990099","republican","0","0","0","0","0","0","0","1","0","0","OK22012","35.51"
"MURPHY, JUSTIN MICHAEL","H","NJ","3","REP","OPEN","2008","male","0","10","republican","0","0","1","0","0","0","0","0","0","0","NJ32008","96.17"
"MYERS, CHRISTOPHER","H","NJ","3","REP","OPEN","2008","male","0","10","republican","0","0","1","0","0","0","0","0","0","0","NJ32008","96.17"
"MYERS, LOIS DICKSON","H","TX","36","REP","OPEN","2012","female","1","12.66666667","republican","0","0","0","0","0","0","0","1","0","0","TX362012","67.74"
"MYHRA, PAMELA J","H","MN","2","REP","OPEN","2016","female","1","13.43283582","republican","0","0","0","0","1","0","0","0","0","0","MN22016","86.97"
"NAVARRO, OMAR","H","CA","43","REP","OPEN","2016","male","0","10","republican","0","0","0","0","0","0","0","0","0","1","CA432016","100.00"
"NEGRON, REBECCA","H","FL","18","REP","OPEN","2016","female","1","12.5","republican","0","0","0","0","0","1","0","0","0","0","FL182016","96.37"
"NEWBERRY, GEORGE","H","CA","36","REP","OPEN","2012","male","0","7.5","republican","0","0","0","0","0","0","0","0","0","1","CA362012","100.00"
"NEWBRY, JANEA HOLMQUIST","H","WA","4","REP","OPEN","2014","female","1","9.183673469","republican","0","0","0","0","0","0","0","0","0","1","WA42014","74.06"
"NEWHOUSE, DANIEL MILTON","H","WA","4","REP","OPEN","2014","male","0","9.183673469","republican","0","0","0","0","0","0","0","0","0","1","WA42014","74.06"
"NEWMAN, MONTY","H","NM","2","REP","OPEN","2008","male","0","17.14285714","republican","0","0","0","0","0","0","0","0","1","0","NM22008","70.82"
"NEWMAN, TERI","H","IL","12","REP","OPEN","2012","female","1","9.322033898","republican","0","0","0","1","0","0","0","0","0","0","IL122012","76.73"
"NIKPOUR, NOELLE","H","FL","18","REP","OPEN","2016","female","1","12.5","republican","0","0","0","0","0","1","0","0","0","0","FL182016","96.37"
"NODLER, GARY","H","MO","7","REP","OPEN","2010","male","0","6.134969325","republican","0","0","0","0","0","0","0","0","0","0","MO72010","59.28"
"NORMAN, DAVID","H","TX","36","REP","OPEN","2014","male","0","10","republican","0","0","0","0","0","0","0","1","0","0","TX362014","67.74"
"NUGENT, RICHARD B","H","FL","5","REP","OPEN","2010","male","0","11.66666667","republican","0","0","0","0","0","1","0","0","0","0","FL52010","64.33"
"O'NEILL, KEVIN M","H","VA","1","REP","OPEN","2008","male","0","5","republican","0","0","0","0","0","1","0","0","0","0","VA12008","64.16"
"OAKS, ROBERT C","H","NY","25","REP","OPEN","2008","male","0","3.333333333","republican","0","0","1","0","0","0","0","0","0","0","NY252008","79.11"
"OBERWEIS, JAMES D","H","IL","14","REP","OPEN","2008","male","0","10.16949153","republican","0","0","0","1","0","0","0","0","0","0","IL142008","86.21"
"OERTHER, BRIAN DOUGLAS","H","KY","4","REP","OPEN","2012","male","0","9","republican","0","0","0","0","0","0","1","0","0","0","KY42012","59.79"
"OHARA, CHARLOTTE IRENE","H","KS","3","REP","OPEN","2010","female","1","12","republican","0","0","0","0","1","0","0","0","0","0","KS32010","94.65"
"OLD, JAMES ROWLAND JR","H","TX","14","REP","OPEN","2012","male","0","12.66666667","republican","0","0","0","0","0","0","0","1","0","0","TX142012","71.06"
"OLIVO, JAMES BROCKMAN","H","MO","9","REP","OPEN","2008","male","0","6.134969325","republican","0","0","0","0","0","0","0","0","0","0","MO92008","45.83"
"OLSON, NANCY L","H","WI","6","REP","OPEN","2014","female","1","8.080808081","republican","0","0","0","1","0","0","0","0","0","0","WI62014","66.06"
"ONDER, ROBERT FRANK JR","H","MO","9","REP","OPEN","2008","male","0","6.134969325","republican","0","0","0","0","0","0","0","0","0","0","MO92008","45.83"
