lin_ima,can_id,can_nam,can_off,can_off_sta,can_off_dis,can_par_aff,can_inc_cha_ope_sea,can_cit,can_sta,can_zip,year
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CA39129&tabIndex=1,H6CA39129,"ANDION, JAMES L.",H,CA,39,REP,CHALLENGER,LOS ANGELES,,,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CA39080&tabIndex=1,H0CA39080,"ANDRE, LARRY STEVEN",H,CA,39,REP,CHALLENGER,LAKEWOOD,CA,90713,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CA17144&tabIndex=1,H0CA17144,"ANDRESEN, PETE",H,CA,17,REP,CHALLENGER,SALINAS,CA,93902,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0TN02066&tabIndex=1,H0TN02066,"ANDREW, D.H. (ANDY)",H,TN,2,IND,CHALLENGER,KNOXVILLE,TN,37922,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0NJ01066&tabIndex=1,H0NJ01066,"ANDREWS, ROBERT E. MR.",H,NJ,1,DEM,INCUMBENT,HADDON HEIGHTS,NJ,8035,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0NV00138&tabIndex=1,S0NV00138,"ANGLE, SHARRON E",S,NV,0,REP,CHALLENGER,RENO,NV,89523,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6TX10106&tabIndex=1,H6TX10106,"ANKRUM, GEORGE THEODORE",H,TX,10,DEM,CHALLENGER,CYPRESS,TX,774297441,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0FL03084&tabIndex=1,H0FL03084,"ANNARUMMA, JOHN",H,FL,6,UNK,CHALLENGER,ALACHUA,FL,32616,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0IL05195&tabIndex=1,H0IL05195,"ANNUNZIO, FRANK",H,IL,5,DEM,OPEN,CHICAGO,IL,60630,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0VA10103&tabIndex=1,H0VA10103,"ANTHONY, RICHARD",H,VA,10,DEM,CHALLENGER,FAIRFAX,VA,22033,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0OH15107&tabIndex=1,H0OH15107,"APPLEGATE, RALPH A.",H,OH,15,REP,CHALLENGER,COLUMBUS,OH,43227,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6OR05127&tabIndex=1,H6OR05127,"ARANAS, PAUL",H,OR,5,OTH,CHALLENGER,SALEM,OR,97309,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6NY24128&tabIndex=1,H6NY24128,"ARCURI, MICHAEL A.",H,NY,24,DEM,INCUMBENT,Utica,NY,13505,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0PA17065&tabIndex=1,H0PA17065,"ARGALL, DAVID G",H,PA,17,REP,CHALLENGER,NESQUEHONING,PA,18240,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CA32192&tabIndex=1,H0CA32192,"ARIF, MOHAMMAD",H,CA,32,PAF,OPEN,CULVER CITY,CA,90230,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0GA04106&tabIndex=1,H0GA04106,"ARMENDARIZ, VICTOR",H,GA,4,REP,CHALLENGER,ATLANTA,GA,30341,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8FL07047&tabIndex=1,H8FL07047,"ARMITAGE, FAYE",H,FL,7,DEM,CHALLENGER,JACKSONVILLE,FL,32260,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0FL00445&tabIndex=1,S0FL00445,"ARMSTRONG, LEWIS JEROME",S,FL,0,NNE,OPEN,JACKSONVILLE,FL,32210,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0OK02145&tabIndex=1,H0OK02145,"ARNETT, DANIEL",H,OK,2,REP,CHALLENGER,NORMAN,OK,73071,2010
