Candidate,House/Senate,State,District,Party,Status,ElectionYear,Gender,GenderVar,PercentWomen,Check Column,PartyVar
"PONDER, BEN",H,AR,1,DEM,OPEN,2010,male,0,16,democrat,1
"POORE, MESHEA",H,WV,2,DEM,OPEN,2014,female,1,11,democrat,1
"PORTER, JACK N",H,MA,4,DEM,OPEN,2012,male,0,20,democrat,1
"POWELL, ADAM CLAYTON IV",H,NY,13,DEM,OPEN,2016,male,0,24.66666667,democrat,1
"POWELL, ISAAC",H,OH,11,DEM,OPEN,2008,male,0,12.12121212,democrat,1
"POWELL, MARK",H,IN,4,DEM,OPEN,2010,male,0,13,democrat,1
"POWERS, JONATHAN",H,NY,26,DEM,OPEN,2008,male,0,22.66666667,democrat,1
"PRENTISS, C.J.",H,OH,11,DEM,OPEN,2008,female,1,12.12121212,democrat,1
"PRICE, JEFFREY S.",H,CA,37,DEM,OPEN,2008,male,0,21.25,democrat,1
"PRICE, NANCY",H,NV,2,DEM,OPEN,2012,female,1,26.19047619,democrat,1
"PRIDEMORE, CRAIG",H,WA,3,DEM,OPEN,2010,male,0,21.42857143,democrat,1
"PUENTES, JORGE RICARDO JR",H,CA,25,DEM,OPEN,2014,male,0,16.25,democrat,1
"QUINTANILLA, JOEL",H,TX,15,DEM,OPEN,2016,male,0,10.66666667,democrat,1
"RAIHALA, DON",H,WI,7,DEM,OPEN,2010,male,0,16.16161616,democrat,1
"RAMIREZ HINOJOSA, RUBEN",H,TX,15,DEM,OPEN,2016,male,0,10.66666667,democrat,1
"RAMIREZ, DANIEL C.",H,CA,51,DEM,OPEN,2012,male,0,20,democrat,1
"RANCATORE, PAUL",H,FL,15,DEM,OPEN,2008,male,0,13.33333333,democrat,1
"RANDOLPH, SUSANNAH",H,FL,9,DEM,OPEN,2016,female,1,10.83333333,democrat,1
"RANGEL, RICARDO",H,FL,9,DEM,OPEN,2016,male,0,10.83333333,democrat,1
"RANKIN, SAM",H,MT,0,DEM,OPEN,2012,male,0,19,democrat,1
"RANSOM, LISA RENEE",H,MD,4,DEM,OPEN,2016,female,1,25.53191489,democrat,1
"RASKIN, JAMIE",H,MD,8,DEM,OPEN,2016,female,1,25.53191489,democrat,1
"RAUNIYAR, DARSHAN",H,WA,1,DEM,OPEN,2012,male,0,19.3877551,democrat,1
"RAYBURN, CHARLES",H,IL,2,DEM,OPEN,2014,male,0,25.42372881,democrat,1
"READ, JAMES HOWARD",H,MN,6,DEM,OPEN,2014,male,0,20.89552239,democrat,1
"REASBECK IV, JOSEPH VINCENT",H,WI,7,DEM,OPEN,2010,male,0,16.16161616,democrat,1
"RECCHIA, DOMENIC M JR",H,NY,13,DEM,OPEN,2008,male,0,22.66666667,democrat,1
"REED, GILDA WERNER PHD",H,LA,1,DEM,OPEN,2008,female,1,9.523809524,democrat,1
"REESE, BRIAN CORWIN",H,GA,1,DEM,OPEN,2014,male,0,16.11111111,democrat,1
"RENEE, TIFFANY",H,CA,2,DEM,OPEN,2012,female,1,20,democrat,1
"RESKE, SCOTT ERIC",H,IN,5,DEM,OPEN,2012,male,0,11,democrat,1
"REYES, ELOISE GOMEZ",H,CA,31,DEM,OPEN,2014,female,1,16.25,democrat,1
"REYNOLDS, MEL",H,IL,2,DEM,OPEN,2014,male,0,25.42372881,democrat,1
"RICE, KATHLEEN",H,NY,4,DEM,OPEN,2014,female,1,20,democrat,1
"RICE, RONALD C",H,NJ,10,DEM,OPEN,2012,male,0,18.75,democrat,1
"RICHARDSON, ELLIOT",H,IL,10,DEM,OPEN,2010,male,0,21.18644068,democrat,1
"RILEY, JEFF",H,AZ,1,DEM,OPEN,2008,male,0,15,democrat,1
"RITTER, TODD LEE",H,OR,1,DEM,OPEN,2012,male,0,20,democrat,1
"RIVERA, LUIS ANTONIO",H,FL,25,DEM,OPEN,2010,male,0,12.5,democrat,1
"RIVES, FRANK",H,OH,11,DEM,OPEN,2008,male,0,12.12121212,democrat,1
"ROACH, JAMES LLOYD",H,FL,19,DEM,OPEN,2012,male,0,10,democrat,1
"ROBERSON, JOHN FORREST",H,IN,3,DEM,OPEN,2016,male,0,12,democrat,1
"ROBERSON, YOLLY",H,FL,17,DEM,OPEN,2010,female,1,12.5,democrat,1
"ROBERTI, DANIEL FRANCIS",H,CT,5,DEM,OPEN,2012,male,0,21.19205298,democrat,1
"ROBERTS, JASON ERIC",H,TX,33,DEM,OPEN,2012,male,0,8.666666667,democrat,1
"ROBERTS, JENNIFER",H,NC,9,DEM,OPEN,2012,female,1,19.16666667,democrat,1
"ROBERTS, WILLIAM F",H,MI,11,DEM,OPEN,2012,male,0,14.54545455,democrat,1
"ROBINSON, DAVID KEITH",H,TX,12,DEM,OPEN,2012,male,0,8.666666667,democrat,1
"ROBINSON, HERBERT WILLIAM",H,MA,4,DEM,OPEN,2012,male,0,20,democrat,1
"ROBLES, ALBERT",H,CA,37,DEM,OPEN,2008,male,0,21.25,democrat,1
"ROCHESTER, LISA BLUNT",H,DE,0,DEM,OPEN,2016,female,1,17.07317073,democrat,1
"RODRIGUEZ-SALAZAR, MARIA D",H,WA,3,DEM,OPEN,2010,female,1,21.42857143,democrat,1
"ROGERS, HAYDEN",H,NC,11,DEM,OPEN,2012,male,0,19.16666667,democrat,1
"ROGERS, LEE C.",H,CA,25,DEM,OPEN,2014,male,0,16.25,democrat,1
"ROMO, SYLVIA S",H,TX,35,DEM,OPEN,2012,female,1,8.666666667,democrat,1
"ROSEN, JACKY",H,NV,3,DEM,OPEN,2016,female,1,21.42857143,democrat,1
"ROYS, KELDA HELEN",H,WI,2,DEM,OPEN,2012,female,1,16.16161616,democrat,1
"RUBIN, JOEL MARTIN",H,MD,8,DEM,OPEN,2016,male,0,25.53191489,democrat,1
"RUDERMAN, LAURA",H,WA,1,DEM,OPEN,2012,female,1,19.3877551,democrat,1
"RUSSELL, WELDON",H,LA,5,DEM,OPEN,2014,male,0,8.571428571,democrat,1
"RYAN, SEAN HENRY",H,OH,11,DEM,OPEN,2008,male,0,12.12121212,democrat,1
"SABEL, CHERYL T",H,AL,2,DEM,OPEN,2008,female,1,10.47619048,democrat,1
"SAIDEL, JONATHAN",H,PA,13,DEM,OPEN,2014,male,0,7.881773399,democrat,1
"SALTONSTALL, CONNIE",H,MI,1,DEM,OPEN,2010,female,1,20,democrat,1
"SANCHEZ, HEBERTO M",H,CA,46,DEM,OPEN,2016,male,0,13.75,democrat,1
"SANDERS, DAVID AURAM",H,IN,4,DEM,OPEN,2010,male,0,13,democrat,1
"SANDERS, KENNETH",H,TX,6,DEM,OPEN,2012,male,0,8.666666667,democrat,1
"SANDOVAL, TONY",H,WA,4,DEM,OPEN,2014,male,0,21.42857143,democrat,1
"SANGISETTY, RAVI",H,LA,3,DEM,OPEN,2010,male,0,10.47619048,democrat,1
"SANTARSIERO, STEVEN J",H,PA,8,DEM,OPEN,2016,male,0,6.896551724,democrat,1
"SBAIH, JESSE",H,NV,3,DEM,OPEN,2016,male,0,21.42857143,democrat,1
"SCHERER, THOMAS E MR.",H,KS,3,DEM,OPEN,2010,male,0,16.8,democrat,1
"SCHERTZING, ERIC ANTHONY",H,MI,8,DEM,OPEN,2014,male,0,14.54545455,democrat,1
"SCHNEIDER, HELENE",H,CA,24,DEM,OPEN,2016,female,1,13.75,democrat,1
"SCHRADER, KURT",H,OR,5,DEM,OPEN,2008,male,0,18.33333333,democrat,1
"SCHRADER, THOMAS ALLEN",H,IN,3,DEM,OPEN,2016,male,0,12,democrat,1
"SCRIVENS, THOMAS L.",H,OH,7,DEM,OPEN,2008,male,0,12.12121212,democrat,1
"SEALS, DANIEL JOSEPH",H,IL,10,DEM,OPEN,2010,male,0,21.18644068,democrat,1
"SEGAL, DAVID ALAN",H,RI,1,DEM,OPEN,2010,male,0,22.66666667,democrat,1
"SERRA, JOE",H,IL,14,DEM,OPEN,2008,male,0,19.49152542,democrat,1
"SEWELL, TERRI A.",H,AL,7,DEM,OPEN,2010,female,1,9.523809524,democrat,1
"SHAFROTH, WILLIAM G",H,CO,2,DEM,OPEN,2008,male,0,32.30769231,democrat,1
"SHAHINFAR, DARIUS",H,NY,21,DEM,OPEN,2008,male,0,22.66666667,democrat,1
"SHANKER, HOWARD MARC",H,AZ,1,DEM,OPEN,2008,male,0,15,democrat,1
"SHAPIRO, MICHAEL",H,CA,33,DEM,OPEN,2014,male,0,16.25,democrat,1
"SHEARER, PATRICK",H,TX,35,DEM,OPEN,2012,male,0,8.666666667,democrat,1
"SHEIN, BILL",H,MA,1,DEM,OPEN,2012,male,0,20,democrat,1
"SHELTROWN, JOEL ",H,MI,1,DEM,OPEN,2010,male,0,20,democrat,1
"SHENDO, BENNY JR",H,NM,3,DEM,OPEN,2008,male,0,14.28571429,democrat,1
"SHERZAN, MICHAEL THOMAS",H,IA,3,DEM,OPEN,2014,male,0,19,democrat,1
"SHIRATORI, MILES",H,HI,2,DEM,OPEN,2012,male,0,27.45098039,democrat,1
"SHORT, BRENDA FREEMAN",H,TN,3,DEM,OPEN,2010,female,1,12.12121212,democrat,1
"SHORT, BRYON HALL",H,DE,0,DEM,OPEN,2016,male,0,17.07317073,democrat,1
"SHUTTLEWORTH, BRUCE BOWEN",H,VA,8,DEM,OPEN,2014,male,0,12,democrat,1
"SICKLES, MARK DAVID",H,VA,8,DEM,OPEN,2014,male,0,12,democrat,1
"SIEKMAN, LANE ARTHUR",H,IN,6,DEM,OPEN,2012,male,0,11,democrat,1
"SILVERMAN, MATTHEW DOUGLAS",H,WI,2,DEM,OPEN,2012,male,0,16.16161616,democrat,1
"SIMON, ELLEN",H,AZ,1,DEM,OPEN,2008,female,1,15,democrat,1
"SINGER, ALEX CHANNING",H,NV,3,DEM,OPEN,2016,male,0,21.42857143,democrat,1
"SINK, ALEX",H,FL,13,DEM,OPEN,2014,female,1,13.33333333,democrat,1
"SINNARD, JEFFREY R",H,OH,2,DEM,OPEN,2008,male,0,12.12121212,democrat,1
"SKELLY, MARTIN O",H,SC,1,DEM,OPEN,2014,male,0,8.870967742,democrat,1
"SMITH , KIMBERLEE E.",H,TN,8,DEM,OPEN,2010,female,1,12.12121212,democrat,1
"SMITH-KEARNEY, VANESSA MCGEE",H,NC,13,DEM,OPEN,2012,female,1,19.16666667,democrat,1
"SMITH, ALDEN",H,ME,2,DEM,OPEN,2014,male,0,22.51655629,democrat,1
"SMITH, BERT",H,OK,5,DEM,OPEN,2008,male,0,2.97029703,democrat,1
"SMITH, DIANE",H,MT,0,DEM,OPEN,2012,female,1,19,democrat,1
"SMITH, MARC ANTHONY",H,GA,1,DEM,OPEN,2014,male,0,16.11111111,democrat,1
"SMITH, WAYNE",H,NJ,10,DEM,OPEN,2012,male,0,18.75,democrat,1
"SMOOT, SHEILA",H,AL,7,DEM,OPEN,2010,female,1,9.523809524,democrat,1
"SOL-GUTIERREZ, ANA",H,MD,8,DEM,OPEN,2016,female,1,25.53191489,democrat,1
"SOLOMON, NORMAN",H,CA,2,DEM,OPEN,2012,male,0,20,democrat,1
"SOTO, DARREN",H,FL,9,DEM,OPEN,2016,male,0,10.83333333,democrat,1
"SPEIER, JACKIE",H,CA,12,DEM,OPEN,2008,female,1,21.25,democrat,1
"SPENCER, SCOTT RICHARD",H,DE,0,DEM,OPEN,2010,male,0,12.19512195,democrat,1
"STATON, BRENT DAVIS",H,TN,3,DEM,OPEN,2010,male,0,12.12121212,democrat,1
"STECK, PHILLIP G",H,NY,21,DEM,OPEN,2008,male,0,22.66666667,democrat,1
"STEIN, JOTHAM SHEPARD",H,IL,14,DEM,OPEN,2008,male,0,19.49152542,democrat,1
"STENDER, LINDA MRS.",H,NJ,7,DEM,OPEN,2008,female,1,22.5,democrat,1
"STERN, STEVEN",H,NY,3,DEM,OPEN,2016,male,0,24.66666667,democrat,1
"STILWELL, JEFF",H,WA,7,DEM,OPEN,2016,male,0,19.3877551,democrat,1
"STRAIT, TERENCE MICHAEL MR JR",H,MD,4,DEM,OPEN,2016,male,0,25.53191489,democrat,1
"STRIMLING, ETHAN K",H,ME,1,DEM,OPEN,2008,male,0,23.17880795,democrat,1
"STRITE, DAN",H,OR,1,DEM,OPEN,2012,male,0,20,democrat,1
"STROHMAIER, DAVID JON",H,MT,0,DEM,OPEN,2012,male,0,19,democrat,1
"STUTZ, ROBERT",H,MT,0,DEM,OPEN,2012,male,0,19,democrat,1
"SUDDUTH, CHERYL",H,CA,11,DEM,OPEN,2014,female,1,16.25,democrat,1
"SULLIVAN, BRIAN",H,WA,1,DEM,OPEN,2012,male,0,19.3877551,democrat,1
"SULLIVAN, JOSEPH P",H,NY,21,DEM,OPEN,2008,male,0,22.66666667,democrat,1
"SUMPTION, MILTON J",H,IL,10,DEM,OPEN,2010,male,0,21.18644068,democrat,1
"SUOZZI, THOMAS MR",H,NY,3,DEM,OPEN,2016,male,0,24.66666667,democrat,1
"SWEETEN, RANCE G RANDY",H,TX,15,DEM,OPEN,2016,male,0,10.66666667,democrat,1
"SWETT, KATRINA",H,NH,2,DEM,OPEN,2010,female,1,25.25,democrat,1
"TAJ, SYED DR",H,MI,11,DEM,OPEN,2012,male,0,14.54545455,democrat,1
"TAKAI, KYLE MARK",H,HI,1,DEM,OPEN,2014,male,0,25.49019608,democrat,1
"TAKANO, MARK",H,CA,41,DEM,OPEN,2012,male,0,20,democrat,1
"TATUM, KYEV P., SR.",H,TX,33,DEM,OPEN,2012,male,0,8.666666667,democrat,1
"TAVIO, AMY LYNN",H,GA,1,DEM,OPEN,2014,female,1,16.11111111,democrat,1
"TAYLOR, DWAYNE L",H,FL,6,DEM,OPEN,2016,male,0,10.83333333,democrat,1
"TAYLOR, PRISCILLA ANN",H,FL,18,DEM,OPEN,2016,female,1,10.83333333,democrat,1
"TEACHOUT, ZEPHYR",H,NY,19,DEM,OPEN,2016,female,1,24.66666667,democrat,1
"TEAGUE, HARRY",H,NM,2,DEM,OPEN,2008,male,0,14.28571429,democrat,1
"THOMAS, EVAN CHARLES",H,CA,25,DEM,OPEN,2014,male,0,16.25,democrat,1
"THOMAS, WILLIAM JOSEPH",H,IN,9,DEM,OPEN,2016,male,0,12,democrat,1
"THOMPSON, ROGER",H,IL,5,DEM,OPEN,2010,male,0,21.18644068,democrat,1
"THORNTON, ALVIN",H,MD,4,DEM,OPEN,2016,male,0,25.53191489,democrat,1
"TILLMAN, DANNY",H,CA,31,DEM,OPEN,2014,male,0,16.25,democrat,1
"TILLMAN, ROBERT LEON",H,KS,4,DEM,OPEN,2010,male,0,16.8,democrat,1
"TINKER, NIKKI M",H,TN,9,DEM,OPEN,2008,female,1,10.1010101,democrat,1
"TITLA, MARY KIM",H,AZ,1,DEM,OPEN,2008,female,1,15,democrat,1
"TITUS, DINA",H,NV,1,DEM,OPEN,2012,female,1,26.19047619,democrat,1
"TODD, BRUCE",H,NJ,3,DEM,OPEN,2014,male,0,20,democrat,1
"TODD, MICHAEL",H,OH,16,DEM,OPEN,2008,male,0,12.12121212,democrat,1
"TONKO, PAUL DAVID",H,NY,21,DEM,OPEN,2008,male,0,22.66666667,democrat,1
"TORRES, NORMA",H,CA,35,DEM,OPEN,2014,female,1,16.25,democrat,1
"TOUEY, ELLEN TERESA",H,PA,7,DEM,OPEN,2010,female,1,5.418719212,democrat,1
"TOWNSEND, BRYAN",H,DE,0,DEM,OPEN,2016,male,0,17.07317073,democrat,1
"TRAUNER, GARY S",H,WY,0,DEM,OPEN,2008,male,0,13.33333333,democrat,1
"TRIVEDI, MANAN",H,PA,6,DEM,OPEN,2014,male,0,7.881773399,democrat,1
"TROIANI, ANTHONY P",H,TX,34,DEM,OPEN,2012,male,0,8.666666667,democrat,1
"TRONE, DAVID",H,MD,8,DEM,OPEN,2016,male,0,25.53191489,democrat,1
"TROTTER, DONNE E",H,IL,2,DEM,OPEN,2014,male,0,25.42372881,democrat,1
"TUDOR, DOUGLAS DAVID",H,FL,12,DEM,OPEN,2010,male,0,12.5,democrat,1
"TURNER, INGRID",H,MD,4,DEM,OPEN,2016,female,1,25.53191489,democrat,1
"VAN HAAFTEN, WILLIAM TRENT",H,IN,8,DEM,OPEN,2010,male,0,13,democrat,1
"VARGAS, JUAN C.",H,CA,51,DEM,OPEN,2012,male,0,20,democrat,1
"VARTANIAN, JOEY",H,IL,5,DEM,OPEN,2010,male,0,21.18644068,democrat,1
"VASQUEZ, ISRAEL C",H,IL,5,DEM,OPEN,2010,male,0,21.18644068,democrat,1
"VEASEY, MARC ALLISON",H,TX,33,DEM,OPEN,2012,male,0,8.666666667,democrat,1
"VEREEN, RODERICK D",H,FL,17,DEM,OPEN,2010,male,0,12.5,democrat,1
"VERNON, MONICA W",H,IA,1,DEM,OPEN,2014,female,1,19,democrat,1
"VERSACE, RICHARD",H,IL,18,DEM,OPEN,2008,male,0,19.49152542,democrat,1
"VIEYRA, ANTHONY W.",H,CA,35,DEM,OPEN,2014,male,0,16.25,democrat,1
"VIGIL-GIRON, REBECCA D",H,NM,1,DEM,OPEN,2008,female,1,14.28571429,democrat,1
"VILELLO, RICHARD PAUL JR",H,PA,5,DEM,OPEN,2008,male,0,5.418719212,democrat,1
"VISE, AVERY",H,AL,6,DEM,OPEN,2014,male,0,8.571428571,democrat,1
"WADE, FRANK",H,CA,12,DEM,OPEN,2008,male,0,21.25,democrat,1
"WALKER, KIMBERLY H MS",H,FL,13,DEM,OPEN,2016,female,1,10.83333333,democrat,1
"WALKINSHAW, BRADY PINERO",H,WA,7,DEM,OPEN,2016,male,0,19.3877551,democrat,1
"WALLACE, DEBBIE D",H,WA,3,DEM,OPEN,2010,female,1,21.42857143,democrat,1
"WALLACE, ROB",H,OK,2,DEM,OPEN,2012,male,0,3.96039604,democrat,1
"WALTERS, EDDISON T",H,AL,7,DEM,OPEN,2010,male,0,9.523809524,democrat,1
"WARD, JASON",H,MT,0,DEM,OPEN,2012,male,0,19,democrat,1
"WASHINGTON, JOYCE",H,IL,2,DEM,OPEN,2014,female,1,25.42372881,democrat,1
"WATERWORTH, STEVE",H,IL,18,DEM,OPEN,2012,male,0,23.72881356,democrat,1
"WEBER, GEORGE D.",H,MO,2,DEM,OPEN,2012,male,0,14.11042945,democrat,1
"WEBER, JERRY",H,IL,11,DEM,OPEN,2008,male,0,19.49152542,democrat,1
"WEGMAN, GARY",H,PA,16,DEM,OPEN,2016,male,0,6.896551724,democrat,1
"WEIRAUCH, ROBIN",H,OH,5,DEM,OPEN,2008,female,1,12.12121212,democrat,1
"WEISSER, MIKEL L",H,AZ,4,DEM,OPEN,2012,male,0,11.66666667,democrat,1
"WEPRIN, DAVID I",H,NY,9,DEM,OPEN,2012,male,0,19.33333333,democrat,1
"WERDER, HAROLD DAVID",H,FL,5,DEM,OPEN,2010,male,0,12.5,democrat,1
"WHEELER, THOMAS J.",H,OH,11,DEM,OPEN,2008,male,0,12.12121212,democrat,1
"WHITAKER, DAVID JEFFREY",H,AR,3,DEM,OPEN,2010,male,0,16,democrat,1
"WHITFIELD, HAROLD L",H,MO,2,DEM,OPEN,2012,male,0,14.11042945,democrat,1
"WIEZER, KENNETH CHARLES BUD",H,IL,12,DEM,OPEN,2012,male,0,23.72881356,democrat,1
"WILCOX, MARY ROSE",H,AZ,7,DEM,OPEN,2014,female,1,18.33333333,democrat,1
"WILLIAMS, ANDRE LEWIS",H,FL,17,DEM,OPEN,2010,male,0,12.5,democrat,1
"WILLIAMS, CLYDE EDWARD JR.",H,NY,13,DEM,OPEN,2016,male,0,24.66666667,democrat,1
"WILLIAMS, MICHAEL J",H,CT,5,DEM,OPEN,2012,male,0,21.19205298,democrat,1
"WILLIAMS, PAUL IVORY",H,TX,15,DEM,OPEN,2016,male,0,10.66666667,democrat,1
"WILLIAMS, PETER",H,LA,6,DEM,OPEN,2014,male,0,8.571428571,democrat,1
"WILLS, ROBERT DALE JR",H,AR,2,DEM,OPEN,2010,male,0,16,democrat,1
"WILMER, FRANKE",H,MT,0,DEM,OPEN,2012,female,1,19,democrat,1
"WILSON, DONALD E JR",H,GA,11,DEM,OPEN,2014,male,0,16.11111111,democrat,1
"WILSON, ED",H,CA,37,DEM,OPEN,2008,male,0,21.25,democrat,1
"WILSON, FREDERICA S",H,FL,17,DEM,OPEN,2010,female,1,12.5,democrat,1
"WINOGRAD, MARCY",H,CA,36,DEM,OPEN,2012,female,1,20,democrat,1
"WITHINGTON, RICHARD B  ''DICK''",H,SC,1,DEM,OPEN,2010,male,0,6.451612903,democrat,1
"WITT, BRADLEY K",H,OR,1,DEM,OPEN,2012,male,0,20,democrat,1
"WITT, JAMES LEE",H,AR,4,DEM,OPEN,2014,male,0,7,democrat,1
"WIVIOTT, DON",H,NM,3,DEM,OPEN,2008,male,0,14.28571429,democrat,1
"WOLFE, JESSICA LYNN",H,NM,1,DEM,OPEN,2008,female,1,14.28571429,democrat,1
"WOLFE, JOHN",H,TN,3,DEM,OPEN,2010,male,0,12.12121212,democrat,1
"WOLFGRAM, JOHN",H,CA,4,DEM,OPEN,2008,male,0,21.25,democrat,1
"WONG, MARGARITA MARIE",H,CA,32,DEM,OPEN,2010,female,1,20,democrat,1
"WOOLEVER, F DAVID",H,OH,7,DEM,OPEN,2008,male,0,12.12121212,democrat,1
"WOOLF, AARON",H,NY,21,DEM,OPEN,2014,male,0,20,democrat,1
"WOOLRIDGE, TYMOTHE (TIM) LYNN",H,AR,1,DEM,OPEN,2010,male,0,16,democrat,1
"WORKS, MARSHALL",H,MO,2,DEM,OPEN,2012,male,0,14.11042945,democrat,1
"WORZALA, DAVID JOHN",H,WI,2,DEM,OPEN,2012,male,0,16.16161616,democrat,1
"WRIGHT, CATHY",H,NJ,10,DEM,OPEN,2012,female,1,18.75,democrat,1
"WRIGHT, KEITH L T",H,NY,13,DEM,OPEN,2016,male,0,24.66666667,democrat,1
"WYDERSKI, RICHARD J",H,OH,7,DEM,OPEN,2008,male,0,12.12121212,democrat,1
"XIAN, KATHRYN",H,HI,1,DEM,OPEN,2014,female,1,25.49019608,democrat,1
"XUNA, JOHN (AKA JUAN)",H,FL,18,DEM,OPEN,2016,male,0,10.83333333,democrat,1
"YALE, RANDY CHRISTOPHER",H,CT,5,DEM,OPEN,2012,male,0,21.19205298,democrat,1
"YANDIK, WILL",H,NY,19,DEM,OPEN,2016,male,0,24.66666667,democrat,1
"YODER, SHELLI",H,IN,9,DEM,OPEN,2016,female,1,12,democrat,1
"YOUNG, STEVEN",H,CA,48,DEM,OPEN,2008,male,0,21.25,democrat,1
"ZELLER, MATTHEW",H,NY,29,DEM,OPEN,2010,male,0,23.33333333,democrat,1
"ZINN, WALTER H",H,MS,1,DEM,OPEN,2016,male,0,9.016393443,democrat,1
"ZWICKER, ANDREW",H,NJ,12,DEM,OPEN,2014,male,0,20,democrat,1
"ACHADJIAN, KHATCHIK",H,CA,24,REP,OPEN,2016,female,1,10,republican,0
"ACTON, JON DAVID",H,IN,4,REP,OPEN,2010,male,0,7,republican,0
"ADAMS JR., EDDIE",H,FL,14,REP,OPEN,2012,male,0,12.5,republican,0
"ADAMS, BOYCE",H,MS,1,REP,OPEN,2016,male,0,4.098360656,republican,0
"ADAMS, EDDIE JR",H,FL,11,REP,OPEN,2008,male,0,9.166666667,republican,0
"ADAMS, EDDIE JR",H,FL,11,REP,OPEN,2010,male,0,11.66666667,republican,0
"ADAMS, JIM",H,NH,2,REP,OPEN,2010,male,0,10.5,republican,0
"ADAMS, KIRK DAVID",H,AZ,5,REP,OPEN,2012,male,0,20,republican,0
"ADAMS, SANDY",H,FL,6,REP,OPEN,2016,female,1,12.5,republican,0
"ADCOCK, CARSON DEE",H,PA,13,REP,OPEN,2014,male,0,10.34482759,republican,0
"ADCOCK, SAM",H,MS,1,REP,OPEN,2016,male,0,4.098360656,republican,0
"ALLEN, CHERYL DENISE",H,IN,4,REP,OPEN,2010,female,1,7,republican,0
"ALLEN, JASON EDWARD",H,MI,1,REP,OPEN,2010,male,0,5.454545455,republican,0
"ALLEN, JASON EDWARD",H,MI,1,REP,OPEN,2016,male,0,8.181818182,republican,0
"AMAR, AMAR DEV",H,NJ,7,REP,OPEN,2008,male,0,10,republican,0
"AMASH, JUSTIN",H,MI,3,REP,OPEN,2010,male,0,5.454545455,republican,0
"AMDUR, JOHN",H,TX,36,REP,OPEN,2014,male,0,10,republican,0
"AMSTERDAM, C KAUI JOCHANAN",H,HI,1,REP,OPEN,2010,male,0,9.803921569,republican,0
"ANDERS, GREG",H,WA,1,REP,OPEN,2012,male,0,10.20408163,republican,0
"ANDERS, SAMUEL",H,GA,3,REP,OPEN,2016,male,0,10,republican,0
"ANDERSON, DIANA",H,NV,4,REP,OPEN,2012,female,1,2.380952381,republican,0
"ANDERSON, JAMES D",H,KS,4,REP,OPEN,2010,male,0,12,republican,0
"ANDERSON, JASON PATRICK",H,IN,5,REP,OPEN,2012,male,0,10,republican,0
"ANDERSON, JOHN DAVID",H,OH,10,REP,OPEN,2012,male,0,11.11111111,republican,0
"ANDION, JAMES L",H,CA,33,REP,OPEN,2010,male,0,5,republican,0
"ANDRADE, CHRISTOPHER ALEN",H,NC,7,REP,OPEN,2014,male,0,10.83333333,republican,0
"ANDREWS, GREGORY A MD",H,IN,2,REP,OPEN,2012,male,0,10,republican,0
"ANTHONY, MALCOLM",H,FL,6,REP,OPEN,2016,male,0,12.5,republican,0
"ARMSTRONG, WILLIAM L III",H,CO,6,REP,OPEN,2008,male,0,7.692307692,republican,0
"ARNOLD-JONES, JANICE E",H,NM,1,REP,OPEN,2012,female,1,11.42857143,republican,0
"ARNTZEN, ELSIE",H,MT,0,REP,OPEN,2014,female,1,8,republican,0
"ARRINGTON, JODEY COOK",H,TX,19,REP,OPEN,2016,female,1,8.666666667,republican,0
"ATANASIO, PAUL M.",H,NY,13,REP,OPEN,2008,male,0,3.333333333,republican,0
"ATKINS, KENNETH STEPHEN",H,TN,8,REP,OPEN,2016,male,0,9.090909091,republican,0
"AUBUCHON, GARY",H,FL,19,REP,OPEN,2012,male,0,12.5,republican,0
"AUSTRIA, STEVE C",H,OH,7,REP,OPEN,2008,male,0,6.060606061,republican,0
"BABEU, PAUL RAYMOND",H,AZ,1,REP,OPEN,2016,male,0,13.33333333,republican,0
"BABIN, BRIAN",H,TX,36,REP,OPEN,2014,male,0,10,republican,0
"BAKER, JAMES O",H,MO,2,REP,OPEN,2012,male,0,11.04294479,republican,0
"BAKER, SCOTT",H,AZ,3,REP,OPEN,2010,male,0,15,republican,0
"BALDERMANN, TIM",H,IL,11,REP,OPEN,2008,male,0,10.16949153,republican,0
"BALFOUR, DONALD KENNETH II",H,GA,7,REP,OPEN,2010,male,0,6.111111111,republican,0
"BANKS, JAMES E",H,IN,3,REP,OPEN,2016,male,0,10,republican,0
"BARINGER, MARK WILLIAM",H,IN,3,REP,OPEN,2016,male,0,10,republican,0
"BARKER, TIMOTHY CLARK",H,KS,1,REP,OPEN,2010,male,0,12,republican,0
"BARNETT, BRYAN K",H,MI,8,REP,OPEN,2014,male,0,7.272727273,republican,0
"BARNETT, JAMES A",H,KS,1,REP,OPEN,2010,male,0,12,republican,0
"BARR, BOB",H,GA,11,REP,OPEN,2014,male,0,8.888888889,republican,0
"BARR, CHRISTINA L.",H,MI,14,REP,OPEN,2014,female,1,7.272727273,republican,0
"BARRINGER, ADAM",H,FL,6,REP,OPEN,2016,male,0,12.5,republican,0
"BARRY, DANIEL B",H,NC,9,REP,OPEN,2012,male,0,10.83333333,republican,0
"BARRY, GEORGE C",H,AL,5,REP,OPEN,2008,male,0,2.857142857,republican,0
"BARTOW, DENNIS",H,VA,8,REP,OPEN,2014,male,0,5,republican,0
"BASS, CHARLES F.",H,NH,2,REP,OPEN,2010,male,0,10.5,republican,0
"BASWELL GUTHRIE, CHERYL ANN",H,AL,5,REP,OPEN,2008,female,1,2.857142857,republican,0
