Candidate,House/Senate,State,District,Party,Status,ElectionYear,Gender,GenderVar,PercentWomen,Check Column,PartyVar
"GALLAGHER, MICHAEL",H,NY,13,DEM,OPEN,2016,male,0,24.66666667,democrat,1
"GALLARDO, STEVE M",H,AZ,7,DEM,OPEN,2014,male,0,18.33333333,democrat,1
"GALLEGO, RUBEN",H,AZ,7,DEM,OPEN,2014,male,0,18.33333333,democrat,1
"GALLOT, RICK",H,LA,5,DEM,OPEN,2014,male,0,8.571428571,democrat,1
"GALVIN, SCOTT",H,FL,17,DEM,OPEN,2010,male,0,12.5,democrat,1
"GARCIA, DOMINGO ALBERTO",H,TX,33,DEM,OPEN,2012,male,0,8.666666667,democrat,1
"GARCIA, JOSE ANTONIO",H,FL,25,DEM,OPEN,2010,male,0,12.5,democrat,1
"GARRETT, MYKALE L",H,MI,14,DEM,OPEN,2014,female,1,14.54545455,democrat,1
"GASKINS, SAMUEL LEWIS",H,KY,1,DEM,OPEN,2016,male,0,10,democrat,1
"GAW, ROBERT STEVEN",H,MO,9,DEM,OPEN,2008,male,0,14.11042945,democrat,1
"GEMMA, ANTHONY P",H,RI,1,DEM,OPEN,2010,male,0,22.66666667,democrat,1
"GENTILE, VINCENT",H,NY,11,DEM,OPEN,2016,male,0,24.66666667,democrat,1
"GEOGHEGAN, THOMAS HOWARD",H,IL,5,DEM,OPEN,2010,male,0,21.18644068,democrat,1
"GIBSON, CHARLOTTE DIANE",H,CA,44,DEM,OPEN,2016,female,1,13.75,democrat,1
"GIBSON, SHIRLEY",H,FL,17,DEM,OPEN,2010,female,1,12.5,democrat,1
"GILL, JOEL L",H,MS,3,DEM,OPEN,2008,male,0,13.93442623,democrat,1
"GILL, NIA",H,NJ,10,DEM,OPEN,2012,female,1,18.75,democrat,1
"GILLAN, KIM",H,MT,0,DEM,OPEN,2012,female,1,19,democrat,1
"GILLARD, MATTHEW OLSON",H,MI,1,DEM,OPEN,2010,male,0,20,democrat,1
"GILLUM, R. J.",H,NV,2,DEM,OPEN,2012,male,0,26.19047619,democrat,1
"GOLDBERG, ALBERT MAXWELL",H,CA,26,DEM,OPEN,2012,male,0,20,democrat,1
"GONZALEZ, VICENTE MR.",H,TX,15,DEM,OPEN,2016,male,0,10.66666667,democrat,1
"GOODMAN, ROGER",H,WA,1,DEM,OPEN,2012,male,0,19.3877551,democrat,1
"GOODWIN, LORAINE",H,CA,19,DEM,OPEN,2010,female,1,20,democrat,1
"GORDON, DAVID JOSEPH",H,NY,22,DEM,OPEN,2016,male,0,24.66666667,democrat,1
"GOYLE, RAJ",H,KS,4,DEM,OPEN,2010,male,0,16.8,democrat,1
"GRABER, BENJAMIN",H,FL,19,DEM,OPEN,2010,male,0,12.5,democrat,1
"GRAF, JAMES ANDREW",H,CA,33,DEM,OPEN,2014,male,0,16.25,democrat,1
"GRAHAM, MALCOLM",H,NC,12,DEM,OPEN,2014,male,0,12.5,democrat,1
"GRANT, LARRY L",H,ID,1,DEM,OPEN,2008,male,0,17.14285714,democrat,1
"GRAYSON, RICHARD",H,WY,0,DEM,OPEN,2016,male,0,5,democrat,1
"GREEN, TERRY GLENN",H,AR,1,DEM,OPEN,2010,male,0,16,democrat,1
"GREENE, RYAN",H,WY,0,DEM,OPEN,2016,male,0,5,democrat,1
"GREENSTEIN, LINDA",H,NJ,12,DEM,OPEN,2014,female,1,20,democrat,1
"GREGORY, JAMES CHRISTOPHER",H,AR,1,DEM,OPEN,2010,male,0,16,democrat,1
"GREGORY, VINCENT",H,MI,14,DEM,OPEN,2014,male,0,14.54545455,democrat,1
"GRETTENBERGER, SUSAN",H,MI,8,DEM,OPEN,2014,female,1,14.54545455,democrat,1
"GREUEL, WENDY J",H,CA,33,DEM,OPEN,2014,female,1,16.25,democrat,1
"GRIEGO, ERIC",H,NM,1,DEM,OPEN,2012,male,0,17.14285714,democrat,1
"GRIFFIN, MORRIS F",H,CA,33,DEM,OPEN,2010,male,0,20,democrat,1
"GRISHAM, MICHELLE",H,NM,1,DEM,OPEN,2012,female,1,17.14285714,democrat,1
