North Carolina 5,Virginia Foxx,Republican,2005,1943,62,Female
North Carolina 6,Mark Walker,Republican,2015,1969,46,Male
North Carolina 7,David Rouzer,Republican,2015,1972,43,Male
North Carolina 8,Richard Hudson,Republican,2013,1971,42,Male
North Carolina 9,Robert Pittenger,Republican,2013,1948,65,Male
North Carolina 10,Patrick McHenry,Republican,2005,1975,30,Male
North Carolina 11,Mark Meadows,Republican,2013,1959,54,Male
North Carolina 12,Alma Adams,Democratic,2014,1946,68,Female
North Carolina 13,George Holding,Republican,2013,1968,45,Male
North Dakota At Large,Kevin Cramer,Republican,2013,1961,52,Male
Ohio 1,Steve Chabot,Republican,2011,1953,58,Male
Ohio 2,Brad Wenstrup,Republican,2013,1958,55,Male
Ohio 3,Joyce Beatty,Democratic,2013,1951,62,Female
Ohio 4,Jim Jordan,Republican,2007,1964,43,Male
Ohio 5,Bob Latta,Republican,2007,1956,51,Male
Ohio 6,Bill Johnson,Republican,2011,1954,57,Male
Ohio 7,Bob Gibbs,Republican,2011,1954,57,Male
Ohio 9,Marcy Kaptur,Democratic,1983,1946,37,Female
Ohio 10,Mike Turner,Republican,2003,1960,43,Male
Ohio 11,Marcia Fudge,Democratic,2008,1952,56,Female
Ohio 12,Pat Tiberi,Republican,2001,1962,39,Male
Ohio 13,Tim Ryan,Democratic,2003,1973,30,Male
Ohio 14,David Joyce,Republican,2013,1957,56,Male
Ohio 15,Steve Stivers,Republican,2011,1965,46,Male
Ohio 16,Jim Renacci,Republican,2011,1958,53,Male
Oklahoma 1,Jim Bridenstine,Republican,2013,1975,38,Male
Oklahoma 2,Markwayne Mullin,Republican,2013,1977,36,Male
Oklahoma 3,Frank Lucas,Republican,1994,1960,34,Male
Oklahoma 4,Tom Cole,Republican,2003,1949,54,Male
Oklahoma 5,Steve Russell,Republican,2015,1963,52,Male
Oregon 1,Suzanne Bonamici,Democratic,2012,1954,58,Female
Oregon 2,Greg Walden,Republican,1999,1957,42,Male
Oregon 3,Earl Blumenauer,Democratic,1996,1948,48,Male
Oregon 4,Peter DeFazio,Democratic,1987,1947,40,Male
Oregon 5,Kurt Schrader,Democratic,2009,1951,58,Male
Pennsylvania 1,Bob Brady,Democratic,1998,1945,53,Male
Pennsylvania 2,Chaka Fattah,Democratic,1995,1956,39,Male
Pennsylvania 3,Mike Kelly,Republican,2011,1948,63,Male
Pennsylvania 4,Scott Perry,Republican,2013,1962,51,Male
Pennsylvania 5,Glenn Thompson,Republican,2009,1959,50,Male
Pennsylvania 6,Ryan Costello,Republican,2015,1976,39,Male
Pennsylvania 7,Pat Meehan,Republican,2011,1955,56,Male
Pennsylvania 8,Mike Fitzpatrick,Republican,2011,1963,48,Male
Pennsylvania 9,Bill Shuster,Republican,2001,1961,40,Male
Pennsylvania 10,Tom Marino,Republican,2011,1952,59,Male
Pennsylvania 11,Lou Barletta,Republican,2011,1956,55,Male
Pennsylvania 12,Keith Rothfus,Republican,2013,1962,51,Male
Pennsylvania 13,Brendan F. Boyle,Democratic,2015,1977,38,Male
Pennsylvania 14,Michael Doyle,Democratic,1995,1953,42,Male
Pennsylvania 15,Charlie Dent,Republican,2005,1960,45,Male
Pennsylvania 16,Joe Pitts,Republican,1997,1939,58,Male
Pennsylvania 17,Matt Cartwright,Democratic,2013,1961,52,Male
Pennsylvania 18,Timothy F. Murphy,Republican,2003,1952,51,Male
Rhode Island 1,David Cicilline,Democratic,2011,1961,50,Male
Rhode Island 2,Jim Langevin,Democratic,2001,1964,37,Male
South Carolina 1,Mark Sanford,Republican,2013,1960,53,Male
South Carolina 2,Joe Wilson,Republican,2001,1947,54,Male
South Carolina 3,Jeff Duncan,Republican,2011,1966,45,Male
South Carolina 4,Trey Gowdy,Republican,2011,1964,47,Male
South Carolina 5,Mick Mulvaney,Republican,2011,1967,44,Male
South Carolina 6,Jim Clyburn,Democratic,1993,1940,53,Male
South Carolina 7,Tom Rice,Republican,2013,1957,56,Male
South Dakota At Large,Kristi Noem,Republican,2011,1971,40,Female
Tennessee 1,Phil Roe,Republican,2009,1945,64,Male
Tennessee 2,Jimmy Duncan,Republican,1988,1947,41,Male
Tennessee 3,Chuck Fleischmann,Republican,2011,1962,49,Male
Tennessee 4,Scott DesJarlais,Republican,2011,1964,47,Male
Tennessee 5,Jim Cooper,Democratic,2003,1954,49,Male
Tennessee 6,Diane Black,Republican,2011,1951,60,Female
Tennessee 7,Marsha Blackburn,Republican,2003,1952,51,Female
Tennessee 8,Stephen Fincher,Republican,2011,1973,38,Male
Tennessee 9,Steve Cohen,Democratic,2007,1949,58,Male
Texas 1,Louie Gohmert,Republican,2005,1953,52,Male
Texas 2,Ted Poe,Republican,2005,1948,57,Male
Texas 3,Sam Johnson,Republican,1991,1930,61,Male
Texas 4,John Ratcliffe,Republican,2015,1965,50,Male
Texas 5,Jeb Hensarling,Republican,2003,1957,46,Male
Texas 6,Joe Barton,Republican,1985,1949,36,Male
Texas 7,John Culberson,Republican,2001,1956,45,Male
Texas 8,Kevin Brady,Republican,1997,1955,42,Male
Texas 9,Al Green,Democratic,2005,1947,58,Male
Texas 10,Michael McCaul,Republican,2005,1962,43,Male
Texas 11,Mike Conaway,Republican,2005,1948,57,Male
Texas 12,Kay Granger,Republican,1999,1943,56,Female
Texas 13,Mac Thornberry,Republican,1995,1958,37,Male
Texas 14,Randy Weber,Republican,2013,1953,60,Male
Texas 15,RubÃ©n Hinojosa,Democratic,1997,1940,57,Male
Texas 16,Beto O'Rourke,Democratic,2013,1972,41,Male
Texas 17,Bill Flores,Republican,2011,1954,57,Male
Texas 18,Sheila Jackson Lee,Democratic,1995,1950,45,Female
Texas 19,Randy Neugebauer,Republican,2003,1949,54,Male
Texas 20,JoaquÃ_n Castro,Democratic,2013,1974,39,Male
